h	k	l	d (Å)	F(real)	F(imag)	|F|	2θ	I		M ID(λ)	Phase
9	1	-8	0.877433	-20.512657	105.535208	107.51	122.77958	0.75836	2	1	1
3	3	5	0.922882	-47.708275	105.648361	115.921	113.16168	0.75724	2	1	1
11	1	-6	1.008509	12.293505	-120.88741	121.511	99.60029	0.75465	2	1	1
16	0	-4	0.921352	112.502649	23.046081	114.839	113.45061	0.74591	2	1	1
9	1	-3	1.445689	-21.295483	87.174083	89.7375	64.3928	0.74489	2	1	1
6	4	2	0.86439	81.955518	-62.585766	103.12	126.03496	0.74386	2	1	1
9	-1	-8	0.877433	29.299475	-101.649671	105.788	122.77958	0.73426	2	1	1
6	-4	0	0.91199	111.972522	-10.92398	112.504	115.2652	0.73361	2	1	1
11	-3	-3	0.931606	-20.359267	113.383347	115.197	111.55263	0.73344	2	1	1
1	3	-4	1.071703	-28.332191	114.743946	118.19	91.90429	0.72904	2	1	1
10	-2	-1	1.200387	95.271204	51.783034	108.435	79.83839	0.71884	2	1	1
3	-1	6	1.065392	-38.69357	111.064138	117.611	92.60827	0.7187	2	1	1
6	0	-5	1.424106	89.27052	6.424407	89.5014	65.48959	0.71446	2	1	1
3	1	6	1.065392	15.486992	-116.161944	117.19	92.60827	0.71356	2	1	1
9	-1	-3	1.445689	4.230968	-87.601364	87.7035	64.3928	0.71151	2	1	1
8	2	2	1.184135	98.714451	46.474336	109.107	81.16072	0.70995	2	1	1
6	2	4	1.084196	-112.4453	-23.264558	114.827	90.5475	0.6951	2	1	1
13	1	0	1.082821	34.539953	-109.43298	114.754	90.69446	0.6934	2	1	1
10	2	-1	1.200387	105.371814	-3.524354	105.431	79.83839	0.67956	2	1	1
8	-2	2	1.184135	105.119077	-18.448552	106.726	81.16072	0.67929	2	1	1
8	0	-6	1.160334	-106.226958	-22.247262	108.532	83.18951	0.67862	2	1	1
2	0	-8	0.930391	-107.819919	-23.85343	110.427	111.77283	0.67567	2	1	1
12	2	-1	1.060468	-113.523839	-11.575803	114.112	93.16652	0.67444	2	1	1
13	-1	0	1.082821	-3.752688	112.336185	112.399	90.69446	0.66523	2	1	1
1	-3	2	1.219363	19.031497	100.615352	102.399	78.35431	0.66054	2	1	1
8	-4	0	0.866162	97.564883	-2.533053	97.5978	125.57625	0.6601	2	1	1
12	-2	-1	1.060468	-105.573197	-36.83533	111.815	93.16652	0.64755	2	1	1
1	-3	-4	1.071703	19.464322	-109.562666	111.278	91.90429	0.64626	2	1	1
3	-3	5	0.922882	-2.012641	-106.914616	106.934	113.16168	0.64437	2	1	1
6	-2	4	1.084196	-108.765338	-18.056097	110.254	90.5475	0.64084	2	1	1
14	-2	-3	0.939163	-80.378116	-72.750222	108.412	110.20849	0.64009	2	1	1
2	2	-7	0.937122	99.245229	41.552165	107.593	110.56715	0.63285	2	1	1
6	2	1	1.45014	-79.240587	-21.430201	82.0873	64.17147	0.62798	2	1	1
9	1	-2	1.527764	-18.194375	-74.42885	76.6204	60.55634	0.62172	2	1	1
14	0	-3	1.068955	104.335984	31.307535	108.932	92.20925	0.61806	2	1	1
